,Dzyga BOX,,,,,,
№ п/п,Назва,"Вихід на стіл, порція/вага, гр.",Кіл-сть порцій,"Ціна, грн","Сума, грн",,
,Доповнення:,,,,,,
,Чіпси з лаваша,100,1,,,,
,Помідори чері,50,1,,,,
,Грінки з часником та сиром,30,1,,,,🌰 Часник та продукти з нього
3,Гарячий сет з яловичиною,1300,,"3 238,00 грн.","0,00 грн.",,
,Люля-кебаб з яловичини з соусом аджика,350,1,,,,
,Міні-шашличок з телятини маринований в спеціях,420,1,,,,
,Рулетики з телятини в паніровці,330,1,,,,🌰 Часник та продукти з нього
,Лаваш з овочами,200,1,,,,🌰 Часник та продукти з нього
4,Гарячий сет з рибою,2850,,"5 577,00 грн.","0,00 грн.",,
,Рол з лосося запеченого з лимоном та розмарином,750,1,,,,
,Філе сібаса гриль,400,1,,,,
,Філе тунця запеченого з чебрецеб та соусом солодкий чілі,500,1,,,,🌰 Часник та продукти з нього
,Рол зі скумбрії запеченої під сирним соусом,750,1,,,,
,Креветка в паніровці,250,1,,,,
,Доповнення:,,,,,,
,Соус солодкий чілі,100,1,,,,
,Соус Бер Блан,100,1,,,,
5,Гарячий сет з овочів гриль,1700,,"1 202,00 грн.","0,00 грн.",,
,Картопля по-селянськи,300,1,,,,
,Перець болгарський,200,1,,,,
,Капуста броколі,150,1,,,,
,Цвітна капуста в паніровці,150,1,,,,
,Цукіні,200,1,,,,
,Баклажан,200,1,,,,
,Помідор чері,200,1,,,,
,Гриби шампіньйони,200,1,,,,
,Доповнення:,,,,,,
,Соус часниковий,100,1,,,,🌰 Часник та продукти з нього
6,Гарячий бокс для компанії,1750,,"2 809,00 грн.","0,00 грн.",,
,Сирні палочки з моцарели в паніровці,130,1,,,,
,Нагетси курячі,120,1,,,,
,Хек в клярі,50,5,,,,"250,00"
,Шашличок з мідіями,200,1,,,,
,Цибулеві кільця фрі,100,1,,,,
,Курячі крильця теріякі,110,5,,,,"550,00"
,Помідори чері запечені,100,1,,,,
,Доповнення:,,,,,,
,Соус Журавлина,100,1,,,,🌰 Часник та продукти з нього
,Соус Дор блю,100,1,,,,🌰 Часник та продукти з нього
,Соус каррі,100,1,,,,
7,Гарячий бокс дитячий,1885,,"2 422,00 грн.","0,00 грн.",,
,Шашличок з індички та апельсину,75,6,,,,
,Нагетси курячі,120,1,,,,
,Морква бейбі карамелізована,120,1,,,,🌰 Часник та продукти з нього
,Броколі під вершковим соусом,120,1,,,,
,Печений люля-кебаб з індички,75,5,,,,
,"Шпинатні млинці з шинкою, індичкою та крем сиром",50,8,,,,
,Доповнення:,,,,,,
,Соус Кетчуп лагідний,100,1,,,,🌰 Часник та продукти з нього
,Соус Сирний,100,1,,,,🌰 Часник та продукти з нього
,Соус Ягідний,100,1,,,,
,Бокси BBQ,,,,,,
1,Бокс для барбекю 1,5400,,"5 707,00 грн.","0,00 грн.",,
,Страви для приготування:,,,,,,
,Ребра в медовому маринаді,1000,1,,,,🍯 Мед та продукти з нього
,Телятина з грейпфрутом,1200,1,,,,
,Курячі крила в азіатському соусі,1500,1,,,,
,Шашлик свинний класичний,1500,1,,,,
,Доповнення:,,,,,,
,"Соус ""Пікантний""",100,1,,,,
,Соус каррі,100,1,,,,🌰 Часник та продукти з нього
2,Бокс для барбекю 2,6000,,"4 855,00 грн.","0,00 грн.",,
,Готові страви:,,,,,,
,Німецький шашличок в маринаді з гірчицею,1300,1,,,,
,Крила курячі смажені із соусом BBQ,1100,1,,,,
,Ніжки курячі BBQ в часнично-лимонному маринаді,850,1,,,,🌰 Часник та продукти з нього
,"Овочева нарізка: помідори, огірки, перець болгарський, цибуля червона, лист салату, зелень асорті",300,1,,,,
,"Шапочки печериць, фаршировані курячим м'ясом та запечені під сиром",675,1,,,,
,Картопляні скибочки з часником і чебрецем,700,1,,,,🌰 Часник та продукти з нього
,Лаваш із сиром сулугуні та зеленню,885,1,,,,
,Доповнення:,,,,,,
,Соус на основі сиру Янтар,100,1,,,,
,"Соус ""Медово-естрагоновий"" (оцет Естрагон, мед, соус Ворчестер, олія оливкова)",100,1,,,,🍯 Мед та продукти з нього
3,Бокс для барбекю 3,5855,,"5 258,00 грн.","0,00 грн.",,
,Готові страви:,,,,,,
,Хрумкі курячі крила з соусом Тар-тар,1480,1,,,,
,Ребра карамелізовані,850,1,,,,🍯 Мед та продукти з нього
,Шашлик із м'яса індички з соусом BBQ,650,1,,,,🌰 Часник та продукти з нього
,"Овочева нарізка: помідори, огірки, перець болгарський, цибуля червона, лист салату, зелень асорті",700,1,,,,
,Печериці фаршировані мусом із крем-сиру та бекону,600,1,,,,🌰 Часник та продукти з нього
,Лаваш із сиром сулугуні та зеленню,695,1,,,,
,Картопля-гриль з салом,680,1,,,,
,Доповнення:,,,,,,
,Соус Трюфельний,100,1,,,,
,Соус Гірчичний,100,1,,,,
,Десерти,,,,,,
1,Солодкий бокс із порційними десертами,2400,,"2 062,00 грн.","0,00 грн.",,
,Чіа пудинг з гранолою та ягідним джемом,120,5,,,,🍯 Мед та продукти з нього
,Пана-кота із желе з манго,120,5,,,,
,Класичний тирамісу,120,5,,,,
,Шоколадно-банановий чізкейк із мигдальними пластівцями,120,5,,,,🥜 Горіхи та продукти з них
2,Бокс для кава-паузи,1180,,"1 637,00 грн.","0,00 грн.",,
,Тарталетка з шоколадом (5 шт),50,5,,,,🥜 Горіхи та продукти з них
,Еклери зі згущеним молоком та цукровою пудрою  (12шт),35,12,,,,
,Макаруни (6шт),35,6,,,,
,"Печиво ""горішки"" (12шт)",100,3,,,,
3,Бокс із фруктами,1470,,"1 229,00 грн.","0,00 грн.",,
,Виноград,300,,,,,
,Ананас,300,,,,,
,Груша,300,,,,,
,Апельсин,250,,,,,
,Ківі,300,,,,,
,М'ята,20,,,,,
4,Солодкий бокс із тартами,1160,,"2 117,00 грн.","0,00 грн.",,
,Тарт з вишневим мусом,50,8,,,,
,Тарт з карамельним мусом,50,8,,,,
,Тарт з ванільним мусом,45,8,,,,
5,Бокс із солодкими млинцями,1260,,"1 573,00 грн.","0,00 грн.",,
,Рожеві солодкі млинці,70,6,,,,
,Зелені солодкі млинці,70,6,,,,
,Жовті солодкі млинці,70,6,,,,
,Додатково:,,,,,,
,Джем малиновий,120,1,,,,
,Сметана,120,1,,,,
,Мед,120,1,,,,🍯 Мед та продукти з нього
,Напої,,,,,,
1,Лимонад Лісові ягоди,500,,"129,00 грн.","0,00 грн.",,
2,Лимонад Імбирний,500,,"129,00 грн.","0,00 грн.",,
3,Лимонад Цитрус,500,,"129,00 грн.","0,00 грн.",,
4,Лимонад Полуниця-базилік,500,,"129,00 грн.","0,00 грн.",,
5,Лимонад Мохіто,500,,"129,00 грн.","0,00 грн.",,
6,Лимонад Манго-Маракуйя,500,,"129,00 грн.","0,00 грн.",,
7,Лимонад Огірковий,500,,"129,00 грн.","0,00 грн.",,
8,Морс ягідний,500,,"118,00 грн.","0,00 грн.",,
9,Узвар,500,,"118,00 грн.","0,00 грн.",,
