,Гарячі страви та закуски,,,,,,
№ п/п,Назва,"Вихід на стіл, порція/вага, гр.",Кіл-сть порцій,"Ціна, грн","Сума, грн",,
,,,,,,🕓 швидко втрачає свій смак/вигляд ,
,"Гарячі страви з птиці, кролика",,,,,*приготування на локації,
2,Брошети з сьомги та окуня маринований у гранатовому соусі Наршараб,100/20,,"476,00 грн.","0,00 грн.",,
3,"Шашлик ""Клеопатра"" з норвезької сьомги, маринованої в гранатовому соусі Наршараб",100/20,,"513,00 грн.","0,00 грн.",,
4,Філе сьомги обсмажене з вершковим соусом,150/50,,"1 078,00 грн.","0,00 грн.",,
5,Філе з лосося та білої риби в норі листі з соусом унаги,150,,"588,00 грн.","0,00 грн.",,
6,"Форель, фарширована сиром сулугуні та горіхами",300,,"985,00 грн.","0,00 грн.",,🥜 Горіхи та продукти з них
7,Брошети із сому з соусом Бешамель (2 брошета),150/20,,"606,00 грн.","0,00 грн.",,
8,Філе мінтая в кунжуті з соусом Бешамель і цибулею шніт,120/30,,"298,00 грн.","0,00 грн.",,
9,Філе тиляпії в апетитному клярі,60/15,,"69,00 грн.","0,00 грн.",,
10,Пангасіус у клярі з соусом Тартар,350,,"578,00 грн.","0,00 грн.",,
11,Рол з філе скумбрії з скибочками томату в листі норі,100,,"279,00 грн.","0,00 грн.",,
12,Філе скумбрії фаршироване помідорами та зеленню запечене на вугіллі,300,,"834,00 грн.","0,00 грн.",,
13,Філе скумбрії з соусом унагі та кунжутом,150,,"180,00 грн.","0,00 грн.",,
14,Скумбрія по-Тосканськи (BBQ),500,,"825,00 грн.","0,00 грн.",,
15,"Дорадо, приготовлене на мангалі з соусом.",300/50,,"1 392,00 грн.","0,00 грн.",,
16,Філе окуня в кунжуті з скибочками цукіні та цитрусовим соусом,150/75/30,,"752,00 грн.","0,00 грн.",,
17,Філе тріски зі смаженими лисичками,150/50,,"940,00 грн.","0,00 грн.",,
18,Сибас у цитрусовому соусі,180/40,,"1 099,00 грн.","0,00 грн.",,
19,Тигрові креветки гриль з помідором чері на шпажках,120,,"450,00 грн.","0,00 грн.",,
20,Кесадилья з креветками,200,,"624,00 грн.","0,00 грн.",,🕓 Змінює зовнішній вигляд
21,Кальмар у тісті з оливковим майонезом та розмарином,100/20,,"195,00 грн.","0,00 грн.",,🕓 Змінює зовнішній вигляд
22,Кальмарові кільця у тісті,100,,"166,00 грн.","0,00 грн.",,🕓 Змінює зовнішній вигляд
23,Мідії з лаймом,100/30,,"307,00 грн.","0,00 грн.",,
24,Соте з морепродуктів,1000,,"6 449,00 грн.","0,00 грн.",,
,Гарячі страви з овочів,,,,,,
1,Овочева закуска у лаваші,100,,"197,00 грн.","0,00 грн.",,🌶️ Перець гострий та продукти з нього
2,Лаваш із сиром сулугуні та зеленню,100,,"185,00 грн.","0,00 грн.",,
3,Печені коренеплоди,120,,"209,00 грн.","0,00 грн.",,
4,Капуста цвітна в паніровці обсмажена,200,,"186,00 грн.","0,00 грн.",,
5,"Шапочки печериць, фаршировані курячим м'ясом та запечені під сиром",100,,"115,00 грн.","0,00 грн.",,
6,"Брошет з овочів, приготовлений на грилі",100,,"151,00 грн.","0,00 грн.",,
7,Печериці фаршировані мусом із крем-сиру та бекону,180,,"240,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
8,Кесаділья сирна,150,,"234,00 грн.","0,00 грн.",,🕓 Змінює зовнішній вигляд
9,Кесадилья грибна,150,,"271,00 грн.","0,00 грн.",,🕓 Змінює зовнішній вигляд
10,Кесадилья зі шпинатом,150,,"286,00 грн.","0,00 грн.",,🕓 Змінює зовнішній вигляд
11,"Помідор фарширований моцарелою, шпинатом та коктейльною креветкою",160,,"275,00 грн.","0,00 грн.",,
12,Баклажан з томатами та сиром Моцарелла,180,,"286,00 грн.","0,00 грн.",,
13,Аранчіні з сирним соусом (2 кульки),105,,"240,00 грн.","0,00 грн.",,
,Сезонні страви,,,,,,
1,Медальйони зі свинячої вирізки з печеним гарбузом,100,,"219,00 грн.","0,00 грн.",,
,Осіннє меню,,,,,,
1,Курячі мітболи фаршировані під вершковим соусом ,100/30,,"159,00 грн.","0,00 грн.",,
2,Рулет курячий з лисичками під соусом бешамель,100/50,,"289,00 грн.","0,00 грн.",,🥜 Горіхи та продукти з них
3,Качине філе з яблуком у гарбузовому соусі,200/50,,"395,00 грн.","0,00 грн.",,
4,Рулет зі свинної вирізки з чорносливом та курагою,100,,"206,00 грн.","0,00 грн.",,
5,Морквяні крокети з кисло-солодким соусом ,100/50,,"82,00 грн.","0,00 грн.",,
,Тематичні закуски : Гавайський стиль,,,,,,
1,"Порційний поке вершкова креветка. Неперевершене поєднання тигрових креветок із солодким манго, сиром філадельфія та хрумким салатом айсберг. Все це на подушці з японського рису та заправлено соусом унаги.",370,,"634,00 грн.","0,00 грн.",,
2,"Порційний поке з локшиною і куркою. Дiєтичне куряче фiле приправлене кунжутно-трюфельним i унагi соусами, солодка голландська кукурудза, соковита, наповнена вiтамiнами капуста, нiжно вiдбитий огiрок Кiм Чii все це на подушцi з гречаної локшини Соба. Подається iз соусом айолi або будь-яким iншим на Ваш вибiр!",400,,"340,00 грн.","0,00 грн.",,
