,Канапе/шпажки,,,,,,
№ п/п,Назва,"Вихід на стіл, порція/вага, гр.",Кіл-сть порцій,"Ціна, грн","Сума, грн",,
,,,,,,🕓 швидко втрачає свій смак/вигляд ,
,Канапе/кростіні,,,,,,
11,Кіш-лорен з лососем та шпинатом(в тарталетці),40,,"107,00 грн.","0,00 грн.",,
12,Кіш-лорен з цибулею порей і беконом (у тарталетці),40,,"81,00 грн.","0,00 грн.",,
13,Кіш-лорен з куркою та грибами у тарталетці,45,,"81,00 грн.","0,00 грн.",,
14,Тарталетка гуакамоле з томатною сальсою та креветкою,60,,"128,00 грн.","0,00 грн.",,
15,Тарталетка з куркою та в'яленими томатами,30,,"94,00 грн.","0,00 грн.",,
16,"Тарталетка з інжиром, сиром Горгонзолою та грецькими горіхами",30,,"101,00 грн.","0,00 грн.",,🥜 Горіхи та продукти з них
17,"Тарталетка з хамоном, сиром Брі та грушею",30,,"101,00 грн.","0,00 грн.",,🍯 Мед та продукти з нього
18,Грибний мус із тофу в тарталетці,50,,"72,00 грн.","0,00 грн.",,
19,Мус із тунця в тарталетці,50,,"77,00 грн.","0,00 грн.",,
20,"Французькі профітролі з лососевою ікрою, вершковим сиром та лимончиком",35,,"225,00 грн.","0,00 грн.",,
21,Волован з індичкою та шинкою,35,,"74,00 грн.","0,00 грн.",,
22,Валован з шампіньйонами та вершковим сиром,35,,"66,00 грн.","0,00 грн.",,
23,Волован з копченою фореллю та зеленню,35,,"138,00 грн.","0,00 грн.",,
24,Волован з курячим паштетом та корнішонами,35,,"91,00 грн.","0,00 грн.",,
25,Валован 4 сири,50,,"92,00 грн.","0,00 грн.",,
26,Млинець з сьомгою с/с і вершковим сиром,40/30,,"166,00 грн.","0,00 грн.",,
27,Млинець з шинкою і вершковим сиром,40/30,,"74,00 грн.","0,00 грн.",,
28,Млинець з курячим пате і скибочками ягідного мармеладу,40/30,,"77,00 грн.","0,00 грн.",,
29,Млинець з сирним мусом і зеленню,40/30,,"71,00 грн.","0,00 грн.",,
30,"Капрезе з хамоном (чері-моцарелла, чері-томат, хамон, песто)",60,,"144,00 грн.","0,00 грн.",,
31,Гриссіні з Пармським окістом,25,,"114,00 грн.","0,00 грн.",,
32,Фінік із вершковим сиром та слайсом хамону,25,,"97,00 грн.","0,00 грн.",,
33,Креветка фрі з соусом манго-чилі,50,,"83,00 грн.","0,00 грн.",,
34,Креветка фрі з соусом тар-тар,50,,"89,00 грн.","0,00 грн.",,
35,"Рулетик із цукіні та фетою ( цукіні, сир Фелата, шпинат, часник, орегано, сіль, перець)",25,,"83,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
36,"Закуска з сиру маасдам, креветкою та соусом каррі",10/15/5,,"108,00 грн.","0,00 грн.",,
37,Профітроль з буряковим лососем та свіжим огірком,40,,"58,00 грн.","0,00 грн.",,
38,"Профітроль з маринованими мідіями, соусом Унагі та гірчицею в зернах",40,,"69,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
39,"Профітроль з ніжним кремом з американської гірчиці, хамоном Серрано та слайсом огірка",45,,"76,00 грн.","0,00 грн.",,
40,"Профітроль з вяленою Брезаолою, каперсами та кремом з рожевого хрону",45,,"49,00 грн.","0,00 грн.",,
41,Профітроль з м'ясом Коппа в хроні та крем сирі,45,,"53,00 грн.","0,00 грн.",,
42,"Профітроль з качиною грудкою, яблучним чатні та солодким соусом чілі",45,,"76,00 грн.","0,00 грн.",,
43,"Профітроль з телятиною, болгарським перцем та вершковим хроном",45,,"73,00 грн.","0,00 грн.",,
44,Італійський рулет у панчеті з фаршированим перцем,25,,"60,00 грн.","0,00 грн.",,
45,Рваний лосось в соусі Деміглас,45,,"83,00 грн.","0,00 грн.",,
46,"Тарт із мусом Горгонзоли, іспанським хамоном та манго",80,,"111,00 грн.","0,00 грн.",,
